gene_name,gene_id,Chow,HFD,FC,P
Ptges3l,ENSMUSG00000097487,2.47,0,-7.96,2.50E-01
Txk,ENSMUSG00000054892,2.46,0,-7.95,1.30E-01
Reln,ENSMUSG00000042453,2.46,0,-7.95,2.50E-01
Pik3ap1,ENSMUSG00000025017,2.44,0,-7.94,1.30E-01
6430573P05Rik,ENSMUSG00000102545,2.43,0,-7.93,2.50E-01
Prmt7,ENSMUSG00000060098,2.43,0,-7.93,1.20E-01
Cuedc1,ENSMUSG00000018378,2.42,0,-7.92,2.50E-01
Kdm8,ENSMUSG00000030752,2.42,0,-7.92,1.70E-01
Nptx1,ENSMUSG00000025582,2.4,0,-7.92,2.50E-01
Rpl17,ENSMUSG00000062328,2.41,0,-7.92,2.50E-01
Dhx37,ENSMUSG00000029480,2.4,0,-7.91,1.60E-01
Ndufaf7,ENSMUSG00000024082,2.39,0,-7.91,2.70E-01
Slc29a1,ENSMUSG00000023942,2.39,0,-7.91,2.50E-01
Stox2,ENSMUSG00000038143,2.38,0,-7.9,2.50E-01
Wdr54,ENSMUSG00000030032,2.37,0,-7.9,2.70E-01
4633401B06Rik,ENSMUSG00000105597,2.37,0,-7.9,2.70E-01
Klhl7,ENSMUSG00000028986,2.36,0,-7.89,1.20E-01
Plpp7,ENSMUSG00000051373,0,3.8,7.89,1.70E-01
Gm15974,ENSMUSG00000090224,0,3.79,7.89,1.70E-01
Tcte2,ENSMUSG00000038347,0,3.78,7.88,1.70E-01
Gm43482,ENSMUSG00000106757,2.34,0,-7.88,1.20E-01
Gml,ENSMUSG00000068349,2.34,0,-7.88,1.20E-01
Ugt2b35,ENSMUSG00000035811,2.34,0,-7.88,1.60E-01
Cfap65,ENSMUSG00000047021,2.33,0,-7.87,2.60E-01
Trem2,ENSMUSG00000023992,2.33,0,-7.87,2.70E-01
1700086L19Rik,ENSMUSG00000071265,2.31,0,-7.86,2.60E-01
A2ml1,ENSMUSG00000047228,2.32,0,-7.86,1.30E-01
Ubap1l,ENSMUSG00000086228,2.31,0,-7.86,1.30E-01
Rsu1,ENSMUSG00000026727,0,3.69,7.85,1.70E-01
Gm37621,ENSMUSG00000103672,2.29,0,-7.85,7.50E-02
Styx,ENSMUSG00000053205,2.29,0,-7.85,1.30E-01
Numbl,ENSMUSG00000063160,2.29,0,-7.84,2.70E-01
Gm20275,ENSMUSG00000110803,0,3.67,7.84,6.90E-02
Mblac2,ENSMUSG00000051098,2.27,0,-7.84,2.70E-01
A730089K16Rik,ENSMUSG00000103529,2.28,0,-7.84,1.20E-01
Gm37689,ENSMUSG00000104347,2.28,0,-7.84,2.70E-01
Dab2,ENSMUSG00000022150,2.27,0,-7.83,2.70E-01
Ino80dos,ENSMUSG00000084799,2.26,0,-7.83,2.70E-01
Gm35940,ENSMUSG00000110981,2.26,0,-7.83,2.70E-01
Gm19391,ENSMUSG00000105139,2.26,0,-7.83,1.20E-01
Gm2531,ENSMUSG00000058567,2.23,0,-7.81,1.40E-01
Aspm,ENSMUSG00000033952,2.23,0,-7.81,2.80E-01
Agxt2,ENSMUSG00000089678,2.22,0,-7.8,1.50E-01
AC122197.1,ENSMUSG00000112229,0,3.57,7.8,2.00E-01
Gm15487,ENSMUSG00000080242,0,3.55,7.79,1.80E-01
Zfp112,ENSMUSG00000052675,2.2,0,-7.79,2.80E-01
Srgap1,ENSMUSG00000020121,2.2,0,-7.79,2.80E-01
Gm38253,ENSMUSG00000102780,2.19,0,-7.78,2.80E-01
Sirt5,ENSMUSG00000054021,0,3.53,7.78,1.80E-01
Kif20b,ENSMUSG00000024795,2.19,0,-7.78,2.80E-01
Zmym1,ENSMUSG00000043872,2.19,0,-7.78,2.80E-01
Sarnp,ENSMUSG00000078427,0,3.52,7.78,8.80E-02
Cbx7,ENSMUSG00000053411,2.19,0,-7.78,3.00E-01
Gm15376,ENSMUSG00000083277,2.18,0,-7.77,2.90E-01
Pnldc1,ENSMUSG00000073460,2.15,0,-7.75,3.00E-01
Bivm,ENSMUSG00000041684,0,3.44,7.75,1.90E-01
Gm15889,ENSMUSG00000089712,2.13,0,-7.74,2.90E-01
Gm45555,ENSMUSG00000109652,0.03,5.63,7.74,7.80E-02
Morn4,ENSMUSG00000049670,2.12,0,-7.74,1.80E-01
Ltbp1,ENSMUSG00000001870,2.12,0,-7.74,2.80E-01
Msh5,ENSMUSG00000007035,4.22,0.02,-7.73,1.30E-01
Rassf8,ENSMUSG00000030259,2.1,0,-7.73,7.60E-02
Gm15530,ENSMUSG00000081651,2.11,0,-7.73,3.00E-01
2010109A12Rik,ENSMUSG00000029384,2.09,0,-7.72,3.00E-01
AC159810.1,ENSMUSG00000111844,0,3.36,7.71,2.10E-01
Prkcb,ENSMUSG00000052889,2.08,0,-7.71,3.10E-01
Shmt1,ENSMUSG00000020534,2.08,0,-7.71,3.00E-01
Ptrhd1,ENSMUSG00000096199,2.08,0,-7.71,3.00E-01
Kntc1,ENSMUSG00000029414,2.08,0,-7.7,3.00E-01
Pik3cd,ENSMUSG00000039936,2.07,0,-7.7,3.00E-01
Ccnd1,ENSMUSG00000070348,2.06,0,-7.7,9.50E-02
1-Mar,ENSMUSG00000026621,2.07,0,-7.7,1.50E-01
Lipg,ENSMUSG00000053846,2.06,0,-7.7,2.90E-01
Gla,ENSMUSG00000031266,0,3.3,7.69,6.80E-02
Megf6,ENSMUSG00000057751,2.04,0,-7.68,3.10E-01
AC153506.1,ENSMUSG00000112203,2.03,0,-7.67,3.00E-01
Stx11,ENSMUSG00000039232,2.03,0,-7.67,3.00E-01
Nprl3,ENSMUSG00000020289,0,3.26,7.67,2.10E-01
Gas7,ENSMUSG00000033066,2.02,0,-7.67,3.30E-01
Gm16279,ENSMUSG00000084998,2.02,0,-7.66,3.20E-01
Fam169b,ENSMUSG00000074071,0,3.23,7.66,2.10E-01
Igfbp5,ENSMUSG00000026185,2,0,-7.65,3.30E-01
Sema4c,ENSMUSG00000026121,1.98,0,-7.64,3.30E-01
Otoa,ENSMUSG00000034990,1.97,0,-7.63,3.20E-01
Timm10b,ENSMUSG00000089847,0,3.18,7.63,2.20E-01
Gm15903,ENSMUSG00000086916,1.97,0,-7.63,3.40E-01
Fbxl22,ENSMUSG00000050503,1.95,0,-7.61,3.30E-01
4930432K21Rik,ENSMUSG00000008129,1.94,0,-7.61,3.40E-01
Slc9a5,ENSMUSG00000014786,0,3.12,7.61,2.20E-01
Gchfr,ENSMUSG00000046814,0,3.12,7.61,6.80E-02
Tmem95,ENSMUSG00000094845,1.94,0,-7.61,3.20E-01
Zfp59,ENSMUSG00000078779,1.93,0,-7.6,3.40E-01
D830044D21Rik,ENSMUSG00000046005,1.93,0,-7.6,1.90E-01
Dcx,ENSMUSG00000031285,1.92,0,-7.6,3.20E-01
